FIRST NAME,LAST NAME,EMAIL,PHONE,STREET,CITY,STATE,ZIPCODE
Allison sarah,Nguyen,arannon@jumpstartlab.com,(615) 438-5000,3155 19th St NW,Washington,DC,20010
SArah,Hankins,pinalevitsky@jumpstartlab.com,(414) 520-5000,2022 15th Street NW,Washington,DC,20009
Sofia,Murillo,lpohen@jumpstartlab.com,(202) 319-2000,"702 H St, suite 300",Washington,DC,20001
Katie,Baimas-George,svsullivan88@jumpstartlab.com,(608) 516-9000,1123 Harvard St. unit R,Washington,DC,20009
Nate,Endres,rmaiorana@jumpstartlab.com,(310) 902-4000,3332 Quesada St.,NW,DC,20015
Melanie,Stevenson,jebergma@jumpstartlab.com,(202) 270-3000,3646 Warder St. NW,Washington,DC,20010
Aurora,Ortega,yfr42@jumpstartlab.com,(202) 554-3000,520 N St SW,Washington,DC,20024
Justin,Chinana,ipesha226@jumpstartlab.com,(434) 989-1000,3321 16th St NW,Washington,DC,20010
Lee,Sachs,bwd6273@jumpstartlab.com,(202) 635-2000,1225 Otis St NE,Washington,DC,20017
Kristina,Trowbridge,oumandrell@jumpstartlab.com,(202) 481-6000,"110 Maryland Ave., NE, Suite 108",Washington,DC,20002
Sean,Modawal,ufmPalley@jumpstartlab.com,(202) 232-7000,1718 Connecticut Ave. NW Suite 300,Washington,DC,20009
Michael,Murphy,bxthewsm@jumpstartlab.com,(202) 232-7000,1718 Connecticut Ave. NW Suite 300,Washington,DC,20009
Callie,McLaughlin,gdacyjamesrossi2@jumpstartlab.com,(202) 552-3000,"391 Michigan Ave., NE",Washington,DC,20017
Eva,Rotman,cgngo8456@jumpstartlab.com,(202) 756-4000,PO Box 29132,Washington,DC,20017
Donna,Taylor,hmisJohnsonPS@jumpstartlab.com,(215) 715-0000,1409 37th St NW,Washington,DC,20007
Dan,Fraissinet,kggoyer@jumpstartlab.com,(850) 445-5000,"Box #577150, Georgetown Univ.",Washington,DC,20057
William,Kristian,xokelly@jumpstartlab.com,(603) 661-5000,812 Randolph St. NW,Washington,DC,20011
Jessie,Kurdyla,etcooke11@jumpstartlab.com,(805) 907-5000,"2915 Connecticut Avenue, NW Apt. 207",Washington,DC,20008
Sophie,Lade,cpagenkn@jumpstartlab.com,(321) 480-4000,2505 13th St. NW,Washington,DC,20009
Lala,Leung,vsmcneal@jumpstartlab.com,(561) 339-1000,2505 13th St. NW,Washington,DC,20009
Daryl,Gutbrod,tknt.jamie@jumpstartlab.com,(202) 256-2000,2941 Chesapeake St NW,Washington,DC,20008
Megan,Craig,nslopuppet_o_o@jumpstartlab.com,(917) 280-6000,1409 37th St.,Washington,DC,20007
